"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2024","2,120.45","2,150.43","2,153.42","2,113.25","","-1.02%"
"06/10/2024","2,142.31","2,143.63","2,147.20","2,131.45","","-0.97%"
"06/07/2024","2,163.38","2,186.31","2,186.67","2,153.98","","-0.78%"
"06/06/2024","2,180.42","2,177.23","2,184.27","2,175.32","","0.80%"
"06/05/2024","2,163.10","2,153.24","2,172.06","2,153.24","","0.72%"
"06/04/2024","2,147.70","2,158.67","2,158.67","2,137.93","","-0.38%"
"06/03/2024","2,155.85","2,157.49","2,165.43","2,148.39","","0.43%"
"05/31/2024","2,146.61","2,133.39","2,153.07","2,130.37","","0.47%"
"05/30/2024","2,136.49","2,113.50","2,138.05","2,112.37","","0.84%"
"05/29/2024","2,118.79","2,144.66","2,146.36","2,116.27","","-1.60%"
"05/28/2024","2,153.33","2,167.18","2,170.44","2,147.52","","-0.46%"
"05/27/2024","2,163.30","2,154.16","2,163.64","2,152.43","","0.41%"
"05/24/2024","2,154.36","2,146.18","2,157.63","2,134.81","","-0.03%"
"05/23/2024","2,154.97","2,154.48","2,168.57","2,150.83","","0.02%"
"05/22/2024","2,154.56","2,165.42","2,165.42","2,149.35","","-0.60%"
"05/21/2024","2,167.59","2,168.18","2,168.72","2,155.99","","-0.20%"
"05/20/2024","2,171.90","2,169.84","2,174.06","2,169.47","","0.09%"
"05/17/2024","2,169.94","2,168.26","2,170.64","2,156.69","","-0.08%"
"05/16/2024","2,171.57","2,178.95","2,180.48","2,168.53","","-0.10%"
"05/15/2024","2,173.71","2,158.45","2,179.95","2,158.45","","0.85%"
"05/14/2024","2,155.35","2,146.02","2,155.90","2,137.95","","0.33%"
"05/13/2024","2,148.36","2,143.12","2,149.01","2,142.18","","0.37%"
"05/10/2024","2,140.39","2,130.75","2,146.90","2,130.75","","0.68%"
"05/09/2024","2,125.94","2,113.90","2,128.27","2,108.21","","0.41%"
"05/08/2024","2,117.22","2,110.77","2,120.53","2,109.69","","0.08%"
"05/07/2024","2,115.59","2,094.38","2,116.48","2,094.38","","1.16%"
"05/06/2024","2,091.24","2,079.50","2,094.96","2,079.15","","0.61%"
"05/03/2024","2,078.60","2,064.31","2,096.35","2,064.01","","1.21%"
"05/02/2024","2,053.79","2,066.64","2,066.64","2,050.06","","-0.16%"
"05/01/2024","2,057.15","2,052.36","2,066.52","2,052.36","","-0.23%"
"04/30/2024","2,061.89","2,077.72","2,082.81","2,057.35","","-0.87%"
"04/29/2024","2,080.08","2,080.72","2,089.42","2,077.26","","0.33%"
"04/26/2024","2,073.30","2,062.38","2,079.98","2,062.38","","0.81%"
"04/25/2024","2,056.55","2,070.30","2,071.28","2,040.25","","-0.38%"
"04/24/2024","2,064.46","2,074.12","2,078.18","2,062.08","","-0.47%"
"04/23/2024","2,074.30","2,042.43","2,076.33","2,042.43","","1.58%"
"04/22/2024","2,042.01","2,031.02","2,045.54","2,031.02","","0.38%"
"04/19/2024","2,034.32","2,029.15","2,035.88","2,013.95","","0.09%"
"04/18/2024","2,032.59","2,035.34","2,040.94","2,022.55","","0.38%"
"04/17/2024","2,024.99","2,025.45","2,042.27","2,020.98","","0.09%"
"04/16/2024","2,023.23","2,049.53","2,049.53","2,016.69","","-1.46%"
"04/15/2024","2,053.16","2,055.03","2,072.94","2,051.16","","0.09%"
"04/12/2024","2,051.29","2,060.00","2,081.70","2,046.42","","-0.51%"
"04/11/2024","2,061.80","2,073.04","2,081.14","2,052.69","","-0.83%"
"04/10/2024","2,079.02","2,096.65","2,111.77","2,065.38","","-0.80%"
"04/09/2024","2,095.76","2,104.22","2,113.67","2,092.21","","-0.55%"
"04/08/2024","2,107.29","2,091.95","2,109.48","2,091.72","","0.76%"
"04/05/2024","2,091.44","2,090.67","2,095.88","2,079.47","","-1.29%"
"04/04/2024","2,118.73","2,110.43","2,122.85","2,109.12","","0.57%"
"04/03/2024","2,106.71","2,092.29","2,110.82","2,086.71","","0.80%"
"04/02/2024","2,089.92","2,104.80","2,112.33","2,088.21","","-0.57%"
"04/01/2024","2,101.83","2,108.90","2,108.91","2,099.07","","-0.54%"
"03/28/2024","2,113.34","2,113.29","2,116.76","2,109.26","","-0.04%"
"03/27/2024","2,114.18","2,112.65","2,116.34","2,110.96","","0.05%"
"03/26/2024","2,113.17","2,109.32","2,118.91","2,107.31","","0.12%"
"03/25/2024","2,110.62","2,104.17","2,113.99","2,099.14","","0.26%"
"03/22/2024","2,105.20","2,102.37","2,109.21","2,099.38","","-0.41%"
"03/21/2024","2,113.96","2,123.41","2,127.74","2,111.70","","0.94%"
"03/20/2024","2,094.37","2,092.23","2,107.40","2,086.46","","-0.05%"
"03/19/2024","2,095.44","2,087.65","2,097.23","2,084.64","","-0.02%"
"03/18/2024","2,095.77","2,103.36","2,105.75","2,092.23","","-0.20%"
"03/15/2024","2,099.98","2,104.34","2,115.74","2,098.54","","-0.34%"
"03/14/2024","2,107.13","2,123.27","2,129.75","2,102.35","","-0.69%"
"03/13/2024","2,121.69","2,118.14","2,125.08","2,113.68","","0.40%"
"03/12/2024","2,113.33","2,102.76","2,115.07","2,095.68","","0.92%"
"03/11/2024","2,094.10","2,095.83","2,099.77","2,085.74","","-0.65%"
"03/08/2024","2,107.73","2,103.85","2,116.98","2,100.36","","0.28%"
"03/07/2024","2,101.78","2,068.27","2,105.46","2,064.45","","1.24%"
"03/06/2024","2,076.10","2,058.13","2,077.96","2,057.78","","0.69%"
"03/05/2024","2,061.96","2,059.53","2,066.39","2,052.93","","-0.14%"
"03/04/2024","2,064.91","2,066.89","2,066.90","2,057.04","","0.25%"
"03/01/2024","2,059.77","2,050.30","2,061.67","2,043.48","","0.71%"
"02/29/2024","2,045.27","2,051.32","2,058.33","2,039.67","","-0.13%"
"02/28/2024","2,047.93","2,051.87","2,052.13","2,043.79","","-0.47%"
"02/27/2024","2,057.53","2,056.35","2,059.85","2,049.60","","0.15%"
"02/26/2024","2,054.50","2,054.46","2,059.78","2,051.92","","-0.10%"
"02/23/2024","2,056.47","2,052.69","2,058.42","2,047.49","","0.54%"
"02/22/2024","2,045.38","2,052.89","2,061.18","2,044.60","","0.84%"
