"Date","Price","Open","High","Low","Vol.","Change %"
"04/17/2024","498.52","498.46","502.34","497.40","197.60M","0.06%"
"04/16/2024","498.21","503.51","503.51","496.53","223.49M","-1.53%"
"04/15/2024","505.93","505.48","510.04","505.16","182.23M","0.13%"
"04/12/2024","505.25","506.39","510.64","503.98","198.44M","0.14%"
"04/11/2024","504.55","505.91","507.52","502.01","245.23M","-0.40%"
"04/10/2024","506.59","507.30","509.62","502.67","249.74M","0.15%"
"04/09/2024","505.82","508.61","509.09","504.99","206.07M","-0.61%"
"04/08/2024","508.93","506.20","509.71","505.90","179.30M","0.47%"
"04/05/2024","506.55","508.63","508.63","504.22","215.91M","-0.84%"
"04/04/2024","510.84","510.09","511.73","509.56","228.05M","0.16%"
"04/03/2024","510.02","508.65","510.23","507.67","238.24M","0.29%"
"04/02/2024","508.57","513.36","515.77","508.20","241.32M","-0.80%"
"03/29/2024","512.66","512.66","512.66","512.66","","0.00%"
"03/28/2024","512.67","512.04","513.49","512.04","218.24M","0.18%"
"03/27/2024","511.75","510.79","512.45","510.38","235.20M","0.13%"
"03/26/2024","511.09","509.46","511.37","508.76","245.12M","0.24%"
"03/25/2024","509.86","509.45","510.46","507.70","217.98M","0.04%"
"03/22/2024","509.64","508.89","510.46","508.23","241.42M","-0.03%"
"03/21/2024","509.77","507.63","510.25","507.14","285.49M","0.90%"
"03/20/2024","505.21","504.31","505.68","503.32","238.74M","0.00%"
"03/19/2024","505.23","503.40","505.29","503.02","224.04M","0.26%"
"03/18/2024","503.94","505.32","505.58","503.42","227.16M","-0.17%"
"03/15/2024","504.80","506.14","508.25","504.78","613.75M","-0.32%"
"03/14/2024","506.40","507.46","509.31","505.34","268.14M","-0.18%"
"03/13/2024","507.33","506.79","508.34","506.06","297.93M","0.16%"
"03/12/2024","506.52","502.48","506.91","502.22","284.55M","1.00%"
"03/11/2024","501.49","501.66","502.07","499.82","329.82M","-0.35%"
"03/08/2024","503.26","503.45","504.60","502.75","326.53M","0.02%"
"03/07/2024","503.16","496.89","503.81","496.16","479.24M","0.99%"
"03/06/2024","498.21","495.92","498.99","495.81","276.05M","0.39%"
"03/05/2024","496.27","497.13","497.46","495.18","198.43M","-0.23%"
"03/04/2024","497.41","498.50","498.50","496.03","205.23M","-0.03%"
"03/01/2024","497.58","495.08","497.88","495.08","264.22M","0.60%"
"02/29/2024","494.61","494.99","496.63","494.61","408.11M","0.00%"
"02/28/2024","494.59","496.22","496.31","494.17","234.20M","-0.35%"
"02/27/2024","496.33","495.63","496.66","494.49","217.73M","0.18%"
"02/26/2024","495.43","496.70","496.75","495.18","218.74M","-0.37%"
"02/23/2024","497.25","495.64","497.74","495.10","213.84M","0.43%"
"02/22/2024","495.10","493.44","496.30","493.44","259.34M","0.82%"
"02/21/2024","491.05","491.54","491.64","489.94","228.98M","-0.17%"
"02/20/2024","491.90","491.88","492.78","490.74","184.54M","-0.10%"
"02/19/2024","492.39","491.03","492.63","490.58","165.32M","0.16%"
"02/16/2024","491.59","489.59","492.01","489.59","222.72M","0.62%"
"02/15/2024","488.54","485.83","488.86","485.83","205.60M","0.68%"
"02/14/2024","485.24","482.69","485.84","482.69","222.67M","0.50%"
"02/13/2024","482.83","487.35","487.35","481.29","223.19M","-0.95%"
"02/12/2024","487.46","485.52","487.56","485.52","177.42M","0.54%"
"02/09/2024","484.83","485.52","486.16","483.53","214.92M","-0.09%"
"02/08/2024","485.27","485.51","487.24","485.16","179.22M","-0.07%"
"02/07/2024","485.63","486.92","487.54","485.28","224.14M","-0.23%"
"02/06/2024","486.76","484.94","487.17","483.63","271.10M","0.63%"
"02/05/2024","483.69","484.14","485.66","482.77","261.68M","-0.05%"
"02/02/2024","483.93","485.07","487.66","483.72","207.45M","0.01%"
"02/01/2024","483.86","485.41","485.83","483.06","230.43M","-0.37%"
"01/31/2024","485.67","486.72","487.45","485.36","234.41M","0.01%"
"01/30/2024","485.63","485.61","486.73","485.02","180.34M","0.16%"
"01/29/2024","484.84","484.46","484.85","483.33","167.44M","0.21%"
"01/26/2024","483.84","478.45","484.49","478.45","212.65M","1.11%"
"01/25/2024","478.53","477.10","478.64","474.90","180.49M","0.30%"
"01/24/2024","477.09","472.64","477.40","472.64","198.91M","1.18%"
"01/23/2024","471.53","473.62","474.44","470.96","215.50M","-0.28%"
"01/22/2024","472.86","469.95","473.42","469.95","170.68M","0.77%"
"01/19/2024","469.24","471.24","472.88","468.34","228.29M","-0.26%"
"01/18/2024","470.45","468.22","470.85","467.43","192.38M","0.59%"
"01/17/2024","467.71","470.38","470.38","464.99","201.41M","-1.13%"
"01/16/2024","473.06","472.67","473.38","470.22","218.47M","-0.24%"
"01/15/2024","474.19","476.88","477.63","473.66","153.14M","-0.54%"
"01/12/2024","476.76","473.92","478.18","473.92","181.28M","0.84%"
"01/11/2024","472.77","477.62","480.04","472.72","237.11M","-0.77%"
"01/10/2024","476.42","476.77","477.78","475.74","170.75M","-0.18%"
"01/09/2024","477.26","478.68","478.83","475.68","176.76M","-0.19%"
"01/08/2024","478.18","475.78","478.18","472.94","189.51M","0.38%"
"01/05/2024","476.38","476.46","477.18","472.24","165.26M","-0.27%"
"01/04/2024","477.68","475.34","477.82","474.21","200.68M","0.69%"
"01/03/2024","474.40","478.17","479.44","472.88","202.52M","-0.86%"
"01/02/2024","478.51","479.69","482.21","476.28","169.92M","-0.11%"
"12/29/2023","479.02","478.28","479.86","478.28","88.07M","0.20%"
"12/28/2023","478.08","479.75","480.43","477.72","95.19M","-0.11%"
"12/27/2023","478.62","477.43","479.72","477.43","119.34M","0.21%"
"12/22/2023","477.60","476.63","478.04","476.07","125.60M","0.14%"
"12/21/2023","476.94","476.93","477.22","475.10","156.30M","-0.21%"
"12/20/2023","477.94","477.48","479.39","476.05","244.24M","0.19%"
"12/19/2023","477.04","475.47","477.38","475.35","207.09M","0.36%"
"12/18/2023","475.32","475.78","476.79","474.40","185.04M","-0.27%"
"12/15/2023","476.61","477.04","479.21","475.72","415.76M","0.01%"
"12/14/2023","476.57","474.80","480.64","474.19","336.50M","0.87%"
"12/13/2023","472.46","472.63","474.52","472.46","213.74M","-0.06%"
"12/12/2023","472.72","473.35","474.75","471.87","184.04M","-0.21%"
"12/11/2023","473.70","472.52","474.14","471.16","172.96M","0.30%"
"12/08/2023","472.26","468.96","473.19","468.96","181.94M","0.74%"
"12/07/2023","468.78","469.63","469.63","467.69","185.37M","-0.27%"
"12/06/2023","470.06","468.46","471.29","467.90","252.29M","0.52%"
"12/05/2023","467.62","465.43","467.98","464.85","172.29M","0.40%"
"12/04/2023","465.78","465.46","467.16","464.97","171.70M","-0.09%"
"12/01/2023","466.20","461.90","466.24","461.90","141.41M","0.99%"
"11/30/2023","461.61","459.70","462.06","458.38","355.88M","0.55%"
"11/29/2023","459.10","456.78","459.95","456.69","163.46M","0.45%"
"11/28/2023","457.04","457.72","457.72","455.08","142.65M","-0.30%"
"11/27/2023","458.41","459.63","460.15","458.30","121.18M","-0.34%"
"11/24/2023","459.98","458.18","460.20","457.81","115.78M","0.33%"
