"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2020","3,004.43","2,853.09","3,004.43","2,839.00","42.32M","2.90%"
"03/25/2020","2,919.65","2,980.73","3,036.32","2,826.68","59.71M","1.82%"
"03/24/2020","2,867.59","2,794.77","2,867.59","2,781.20","60.55M","7.64%"
"03/23/2020","2,664.10","2,675.76","2,742.39","2,631.05","69.06M","-3.87%"
"03/20/2020","2,771.49","2,761.12","2,856.23","2,735.94","118.51M","5.14%"
"03/19/2020","2,636.02","2,631.19","2,720.44","2,565.42","70.94M","2.32%"
"03/18/2020","2,576.21","2,517.10","2,597.90","2,511.50","66.13M","1.88%"
"03/17/2020","2,528.77","2,635.01","2,639.16","2,426.72","82.12M","-0.27%"
"03/16/2020","2,535.58","2,622.50","2,622.81","2,406.75","88.59M","-7.22%"
"03/13/2020","2,732.80","2,795.70","2,950.36","2,701.78","101.73M","1.18%"
"03/12/2020","2,701.00","3,020.11","3,030.35","2,697.94","97.83M","-14.21%"
"03/11/2020","3,148.41","3,210.70","3,264.70","3,130.02","65.21M","-0.23%"
"03/10/2020","3,155.60","3,217.77","3,344.80","3,138.75","71.86M","-0.61%"
"03/09/2020","3,174.81","3,248.83","3,292.21","3,169.13","88.25M","-7.58%"
"03/06/2020","3,435.09","3,477.85","3,491.50","3,394.45","53.51M","-3.10%"
"03/05/2020","3,544.83","3,641.62","3,641.62","3,519.31","53.83M","-1.48%"
"03/04/2020","3,597.98","3,578.04","3,635.23","3,559.06","56.26M","0.64%"
"03/03/2020","3,575.13","3,611.08","3,649.14","3,568.78","51.00M","1.47%"
"03/02/2020","3,523.24","3,562.52","3,605.65","3,452.99","56.34M","0.99%"
"02/28/2020","3,488.60","3,534.90","3,550.84","3,439.90","73.76M","-4.15%"
"02/27/2020","3,639.51","3,732.55","3,747.36","3,603.35","52.58M","-4.98%"
"02/26/2020","3,830.34","3,789.83","3,841.19","3,686.72","44.54M","0.05%"
"02/25/2020","3,828.40","3,926.84","3,946.88","3,828.40","39.07M","-2.28%"
"02/24/2020","3,917.64","3,982.01","3,987.43","3,896.17","41.66M","-3.94%"
"02/21/2020","4,078.44","4,095.41","4,101.27","4,063.14","31.74M","-0.99%"
"02/20/2020","4,119.04","4,143.18","4,165.00","4,119.04","34.27M","-0.49%"
"02/19/2020","4,139.26","4,158.61","4,162.94","4,134.58","45.43M","-0.61%"
"02/18/2020","4,164.50","4,173.12","4,184.95","4,147.78","22.91M","-0.81%"
"02/17/2020","4,198.31","4,188.82","4,201.35","4,188.08","10.72M","0.31%"
"02/14/2020","4,185.44","4,185.33","4,198.05","4,180.59","15.51M","0.06%"
"02/13/2020","4,182.78","4,172.74","4,182.78","4,126.96","22.58M","-0.04%"
"02/12/2020","4,184.27","4,150.09","4,184.27","4,146.61","25.18M","0.77%"
"02/11/2020","4,152.30","4,121.67","4,156.80","4,121.67","24.99M","1.23%"
"02/10/2020","4,101.80","4,083.55","4,102.79","4,076.21","17.58M","0.16%"
"02/07/2020","4,095.20","4,124.90","4,126.33","4,072.25","23.28M","-1.09%"
"02/06/2020","4,140.23","4,113.86","4,146.10","4,113.86","32.25M","0.91%"
"02/05/2020","4,103.04","4,043.76","4,126.69","4,043.76","25.57M","1.56%"
"02/04/2020","4,039.92","3,954.70","4,043.56","3,954.43","24.23M","2.82%"
"02/03/2020","3,929.27","3,910.04","3,947.78","3,906.05","16.61M","0.55%"
"01/31/2020","3,907.61","3,938.80","3,952.53","3,901.58","26.16M","-0.52%"
"01/30/2020","3,927.86","3,932.20","3,950.06","3,916.15","20.25M","-0.94%"
"01/29/2020","3,965.01","3,957.25","3,981.77","3,954.55","18.30M","0.22%"
"01/28/2020","3,956.11","3,918.58","3,962.01","3,898.40","21.42M","1.35%"
"01/27/2020","3,903.50","3,945.71","3,950.16","3,899.68","26.14M","-2.48%"
"01/24/2020","4,002.84","4,000.29","4,035.93","4,000.29","19.72M","0.62%"
"01/23/2020","3,978.30","4,007.05","4,019.04","3,971.20","23.14M","-0.93%"
"01/22/2020","4,015.71","4,024.42","4,029.67","4,003.65","18.13M","-0.08%"
"01/21/2020","4,018.85","3,996.87","4,018.85","3,984.90","16.14M","0.15%"
"01/20/2020","4,012.67","4,010.31","4,013.11","3,991.23","10.96M","0.14%"
"01/17/2020","4,007.20","3,997.19","4,014.81","3,992.85","19.25M","0.49%"
"01/16/2020","3,987.78","3,978.42","3,990.74","3,964.85","16.77M","0.43%"
"01/15/2020","3,970.72","3,985.81","3,988.22","3,963.49","21.10M","-0.50%"
"01/14/2020","3,990.63","3,984.64","3,990.63","3,948.25","17.19M","0.15%"
"01/13/2020","3,984.58","4,026.23","4,033.14","3,973.10","17.65M","-0.63%"
"01/10/2020","4,009.88","4,025.00","4,025.00","4,008.99","14.83M","-0.10%"
"01/09/2020","4,013.98","4,018.96","4,034.08","4,007.53","23.65M","0.84%"
"01/08/2020","3,980.69","3,965.68","3,989.96","3,947.48","19.11M","-0.10%"
"01/07/2020","3,984.73","3,981.86","4,013.48","3,976.32","15.12M","0.33%"
"01/06/2020","3,971.78","3,960.57","3,973.87","3,918.73","16.62M","-0.57%"
"01/03/2020","3,994.61","4,002.17","4,008.14","3,976.68","16.48M","-0.53%"
"01/02/2020","4,015.93","3,982.56","4,021.77","3,982.56","20.11M","1.52%"
"12/31/2019","3,955.83","3,964.00","3,966.19","3,955.83","4.10M","-0.29%"
"12/30/2019","3,967.18","3,993.70","3,995.24","3,967.18","9.11M","-0.73%"
"12/27/2019","3,996.35","3,994.65","4,012.52","3,990.97","10.71M","0.11%"
"12/24/2019","3,992.13","3,982.14","3,995.80","3,979.05","2.87M","0.06%"
"12/23/2019","3,989.61","3,983.56","3,992.91","3,974.83","11.66M","-0.08%"
"12/20/2019","3,992.93","3,986.90","4,002.26","3,980.09","41.11M","0.19%"
"12/19/2019","3,985.29","3,965.53","3,985.29","3,961.67","16.79M","0.44%"
"12/18/2019","3,967.68","3,956.97","3,974.11","3,953.43","17.62M","0.10%"
"12/17/2019","3,963.81","3,970.47","3,976.03","3,949.42","20.48M","-0.35%"
"12/16/2019","3,977.89","3,953.88","3,982.65","3,952.61","17.59M","1.06%"
"12/13/2019","3,936.10","3,968.41","3,981.69","3,932.52","28.96M","0.11%"
"12/12/2019","3,931.65","3,925.02","3,946.63","3,894.71","24.51M","0.28%"
"12/11/2019","3,920.85","3,923.39","3,934.55","3,907.72","13.71M","-0.17%"
"12/10/2019","3,927.63","3,940.63","3,941.10","3,896.57","15.71M","-0.38%"
"12/09/2019","3,942.51","3,928.01","3,947.62","3,925.43","12.90M","0.34%"
"12/06/2019","3,929.05","3,906.68","3,937.69","3,899.81","16.99M","1.08%"
"12/05/2019","3,887.14","3,898.00","3,922.65","3,884.75","14.36M","-0.06%"
"12/04/2019","3,889.41","3,835.71","3,890.83","3,835.58","18.12M","1.25%"
"12/03/2019","3,841.33","3,874.08","3,892.49","3,830.06","22.69M","-0.59%"
"12/02/2019","3,864.11","3,911.96","3,938.35","3,861.67","24.84M","-1.09%"
"11/29/2019","3,906.68","3,897.66","3,925.78","3,893.27","16.33M","-0.21%"
"11/28/2019","3,914.86","3,901.47","3,915.71","3,895.29","11.20M","0.06%"
"11/27/2019","3,912.38","3,914.08","3,914.72","3,897.83","15.55M","0.21%"
"11/26/2019","3,904.31","3,901.81","3,909.91","3,878.77","24.77M","0.04%"
"11/25/2019","3,902.93","3,891.22","3,906.72","3,890.60","13.10M","0.62%"
"11/22/2019","3,878.93","3,873.24","3,897.69","3,871.97","20.54M","0.13%"
"11/21/2019","3,873.93","3,871.04","3,878.19","3,842.28","18.12M","-0.57%"
"11/20/2019","3,896.19","3,887.30","3,899.97","3,861.73","19.39M","-0.03%"
"11/19/2019","3,897.44","3,909.17","3,920.19","3,890.84","15.33M","-0.21%"
"11/18/2019","3,905.52","3,903.17","3,920.03","3,887.71","17.33M","0.29%"
"11/15/2019","3,894.25","3,884.16","3,894.68","3,860.14","17.61M","0.62%"
"11/14/2019","3,870.27","3,880.41","3,892.91","3,866.86","18.96M","-0.21%"
"11/13/2019","3,878.37","3,879.74","3,880.99","3,853.24","24.54M","-0.52%"
"11/12/2019","3,898.48","3,880.47","3,903.34","3,873.11","17.99M","0.78%"
"11/11/2019","3,868.27","3,872.19","3,883.50","3,855.01","15.58M","-0.22%"
"11/08/2019","3,876.94","3,862.30","3,908.02","3,851.40","30.42M","-0.03%"
"11/07/2019","3,878.14","3,870.02","3,880.42","3,861.73","29.09M","0.48%"
"11/06/2019","3,859.71","3,857.72","3,873.76","3,849.99","26.98M","0.20%"
"11/05/2019","3,851.87","3,841.06","3,859.52","3,832.52","22.68M","0.59%"
"11/04/2019","3,829.20","3,810.34","3,838.35","3,810.34","26.78M","0.91%"
"11/01/2019","3,794.80","3,771.06","3,797.29","3,766.83","19.46M","0.84%"
"10/31/2019","3,763.25","3,769.61","3,777.93","3,732.16","27.04M","-0.11%"
"10/30/2019","3,767.32","3,763.74","3,776.30","3,740.18","21.17M","0.09%"
"10/29/2019","3,763.93","3,766.58","3,767.44","3,747.05","17.36M","-0.18%"
"10/28/2019","3,770.84","3,750.13","3,773.09","3,746.96","17.91M","0.49%"
"10/25/2019","3,752.35","3,791.64","3,791.64","3,720.62","21.12M","-1.04%"
"10/24/2019","3,791.66","3,769.81","3,797.55","3,766.06","19.23M","0.83%"
"10/23/2019","3,760.28","3,757.10","3,769.02","3,744.98","19.70M","-0.22%"
"10/22/2019","3,768.48","3,789.10","3,793.74","3,760.80","17.84M","-0.41%"
"10/21/2019","3,784.04","3,760.13","3,798.88","3,755.23","23.14M","0.70%"
"10/18/2019","3,757.78","3,773.66","3,778.40","3,752.60","18.20M","-0.49%"
