"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2020","6,796.60","6,775.20","6,839.50","6,709.30","212.05M","-0.22%"
"10/21/2020","6,811.50","6,961.50","6,962.20","6,806.10","207.33M","-1.67%"
"10/20/2020","6,927.30","6,834.80","6,972.10","6,826.70","221.48M","0.98%"
"10/19/2020","6,860.20","6,882.10","6,932.80","6,816.40","173.62M","0.15%"
"10/16/2020","6,849.70","6,851.90","6,877.00","6,784.60","234.16M","0.48%"
"10/15/2020","6,816.80","6,840.20","6,842.30","6,763.00","237.25M","-1.44%"
"10/14/2020","6,916.60","6,880.40","6,946.80","6,846.50","178.69M","0.60%"
"10/13/2020","6,875.20","6,945.20","6,960.60","6,854.60","205.87M","-1.09%"
"10/12/2020","6,951.00","6,968.80","6,979.90","6,924.80","167.26M","0.00%"
"10/09/2020","6,950.90","6,992.90","7,024.60","6,936.70","182.75M","-0.60%"
"10/08/2020","6,992.80","6,953.20","7,018.80","6,951.70","202.09M","1.20%"
"10/07/2020","6,910.10","6,920.20","6,952.60","6,887.10","207.42M","-0.38%"
"10/06/2020","6,936.20","6,860.10","6,975.40","6,838.80","265.23M","1.44%"
"10/05/2020","6,837.90","6,814.50","6,851.00","6,794.10","237.49M","1.23%"
"10/02/2020","6,754.50","6,675.40","6,754.50","6,648.90","227.14M","0.35%"
"10/01/2020","6,730.70","6,789.10","6,800.80","6,701.20","227.52M","0.21%"
"09/30/2020","6,716.60","6,663.60","6,771.10","6,639.70","247.93M","0.04%"
"09/29/2020","6,713.60","6,769.50","6,790.70","6,713.60","198.77M","-1.15%"
"09/28/2020","6,791.50","6,709.20","6,798.90","6,681.40","212.05M","2.46%"
"09/25/2020","6,628.30","6,647.40","6,681.90","6,552.30","263.36M","-0.23%"
"09/24/2020","6,643.40","6,577.60","6,705.70","6,562.60","285.83M","-0.16%"
"09/23/2020","6,654.20","6,717.80","6,781.10","6,654.20","294.83M","0.08%"
"09/22/2020","6,648.60","6,752.90","6,758.00","6,645.60","286.49M","-0.65%"
"09/21/2020","6,692.30","6,892.90","6,892.90","6,678.80","384.70M","-3.43%"
"09/18/2020","6,929.80","7,073.80","7,075.30","6,923.60","975.21M","-2.21%"
"09/17/2020","7,086.20","7,027.10","7,101.80","7,013.80","214.24M","-0.35%"
"09/16/2020","7,110.80","7,048.30","7,110.80","7,020.70","239.81M","1.06%"
"09/15/2020","7,036.00","6,958.90","7,064.00","6,954.80","204.19M","1.22%"
"09/14/2020","6,951.10","6,989.80","7,005.70","6,935.00","199.77M","0.11%"
"09/11/2020","6,943.20","6,989.40","7,000.90","6,910.40","209.12M","-0.80%"
"09/10/2020","6,999.20","7,020.60","7,050.90","6,967.40","211.10M","-0.31%"
"09/09/2020","7,020.90","6,946.40","7,038.60","6,938.90","202.90M","0.95%"
"09/08/2020","6,955.00","7,087.90","7,102.60","6,899.00","246.70M","-1.78%"
"09/07/2020","7,080.70","7,032.80","7,098.00","7,013.00","257.58M","1.30%"
"09/04/2020","6,989.70","7,015.70","7,133.40","6,954.70","462.54M","-0.23%"
"09/03/2020","7,006.00","7,065.20","7,159.60","6,971.20","246.67M","0.13%"
"09/02/2020","6,996.90","6,973.10","7,046.10","6,963.90","208.51M","0.57%"
"09/01/2020","6,956.90","7,038.50","7,042.00","6,903.00","226.08M","-0.18%"
"08/31/2020","6,969.50","7,174.30","7,198.30","6,960.00","205.26M","-2.29%"
"08/28/2020","7,133.00","7,114.70","7,162.90","7,055.10","193.35M","0.60%"
"08/27/2020","7,090.70","7,114.10","7,130.20","7,029.20","162.18M","-0.45%"
"08/26/2020","7,123.00","7,088.40","7,136.50","7,070.40","122.06M","0.21%"
